;host_is_superhost;host_listings_count;latitude;longitude;property_type;room_type;accommodates;bathrooms;bedrooms;beds;bed_type;price;security_deposit;cleaning_fee;extra_people;minimum_nights;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable;is_business_travel_ready;cancellation_policy;ano;mes;n_amenities
4706;t;5.0;-22.97313;-43.18836;Apartment;Entire home/apt;4;2.0;1.0;2.0;Real Bed;148.0;$0.00;$190.00;70.0;4;97.0;10.0;10.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;29
4708;f;2.0;-22.98307;-43.19076;Apartment;Entire home/apt;6;1.0;1.0;6.0;Real Bed;300.0;$2,000.00;$140.00;200.0;2;90.0;9.0;9.0;9.0;9.0;9.0;9.0;f;f;strict_14_with_grace_period;2020;4;26
4711;f;1.0;-22.91404;-43.18498;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;90.0;$0.00;$90.00;35.0;1;88.0;10.0;8.0;10.0;10.0;9.0;9.0;t;f;strict_14_with_grace_period;2020;4;37
4712;f;7.0;-22.98571;-43.2072;Apartment;Entire home/apt;6;2.0;2.0;3.0;Real Bed;648.0;$1,500.00;$200.00;80.0;2;91.0;9.0;8.0;10.0;9.0;10.0;9.0;t;f;strict_14_with_grace_period;2020;4;40
4718;t;7.0;-22.9391;-43.18986;Apartment;Private room;4;2.0;1.0;3.0;Real Bed;69.0;$0.00;$47.00;21.0;2;98.0;10.0;10.0;10.0;10.0;9.0;10.0;t;f;strict_14_with_grace_period;2020;4;25
4720;t;1.0;-22.98265;-43.22251;Apartment;Entire home/apt;2;1.0;1.0;0.0;Real Bed;148.0;$0.00;$150.00;0.0;2;90.0;9.0;9.0;9.0;9.0;10.0;9.0;t;f;strict_14_with_grace_period;2020;4;22
4722;f;2.0;-22.92903;-43.17617;Apartment;Entire home/apt;2;1.0;1.0;2.0;Real Bed;100.0;$0.00;$100.00;0.0;3;100.0;10.0;9.0;10.0;10.0;10.0;9.0;f;f;flexible;2020;4;17
4725;t;5.0;-22.96882;-43.18073;Apartment;Entire home/apt;6;2.0;3.0;3.0;Real Bed;506.0;$3,185.00;$265.00;0.0;2;94.0;10.0;9.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;29
4726;f;2.0;-22.91368;-43.18851;Outros;Entire home/apt;4;1.0;1.0;2.0;Real Bed;101.0;$900.00;$177.00;0.0;3;93.0;9.0;9.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;12
4728;f;10.0;-22.98617;-43.1915;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;200.0;$750.00;$190.00;0.0;3;95.0;10.0;10.0;10.0;10.0;10.0;9.0;t;f;strict_14_with_grace_period;2020;4;11
4730;f;1.0;-22.9686;-43.18234;Apartment;Entire home/apt;9;2.5;3.0;5.0;Real Bed;659.0;$2,000.00;$150.00;0.0;4;90.0;9.0;9.0;10.0;10.0;10.0;8.0;f;f;strict_14_with_grace_period;2020;4;31
4738;t;0.0;-22.96377;-43.17684;Apartment;Entire home/apt;4;1.0;0.0;3.0;Real Bed;100.0;$450.00;$115.00;25.0;2;95.0;9.0;10.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;27
4740;f;2.0;-22.98283;-43.19818;Apartment;Entire home/apt;9;2.0;3.0;0.0;Real Bed;453.0;$600.00;$230.00;33.0;3;95.0;10.0;10.0;10.0;10.0;10.0;8.0;f;f;strict_14_with_grace_period;2020;4;31
4741;f;1.0;-22.98208;-43.20598;Apartment;Private room;2;1.0;1.0;0.0;Real Bed;258.0;$859.00;$115.00;115.0;2;99.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict_14_with_grace_period;2020;4;26
4743;f;4.0;-22.9154;-43.18835;House;Entire home/apt;8;2.0;3.0;3.0;Real Bed;121.0;$0.00;$150.00;30.0;2;100.0;10.0;8.0;8.0;8.0;10.0;10.0;t;f;strict_14_with_grace_period;2020;4;25
4744;f;6.0;-22.97364;-43.18718;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;300.0;$500.00;$100.00;40.0;2;91.0;9.0;9.0;9.0;9.0;10.0;9.0;t;f;strict_14_with_grace_period;2020;4;31
4749;f;4.0;-22.95198;-43.18895;Apartment;Private room;2;1.0;1.0;2.0;Real Bed;300.0;$100.00;$400.00;10.0;3;80.0;10.0;6.0;10.0;8.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;11
